,u,i,ts,label,idx
0,1,2,0.0,0.0,1
1,3,4,0.0,0.0,2
2,5,6,0.0,0.0,3
3,7,6,0.0,0.0,4
4,3,8,172800.0,0.0,5
5,7,8,172800.0,0.0,6
6,9,8,172800.0,0.0,7
7,2,8,172800.0,0.0,8
8,8,3,172800.0,0.0,9
9,10,11,259200.0,0.0,10
10,2,7,345600.0,0.0,11
11,9,7,345600.0,0.0,12
12,4,7,345600.0,0.0,13
13,3,7,345600.0,0.0,14
14,8,7,345600.0,0.0,15
15,12,13,432000.0,0.0,16
16,13,12,432000.0,0.0,17
17,4,13,518400.0,0.0,18
18,13,3,518400.0,0.0,19
19,13,4,518400.0,0.0,20
20,14,11,604800.0,0.0,21
21,6,11,604800.0,0.0,22
22,11,6,604800.0,0.0,23
23,6,15,864000.0,0.0,24
24,15,6,864000.0,0.0,25
25,16,13,950400.0,0.0,26
26,13,16,950400.0,0.0,27
27,4,17,1036800.0,0.0,28
28,2,6,1296000.0,0.0,29
29,2,17,1468800.0,0.0,30
30,17,2,1468800.0,0.0,31
31,4,18,1555200.0,0.0,32
32,18,4,1555200.0,0.0,33
33,11,2,1728000.0,0.0,34
34,6,2,1814400.0,0.0,35
35,2,16,1814400.0,0.0,36
36,16,2,1814400.0,0.0,37
37,4,19,1814400.0,0.0,38
38,20,21,1900800.0,0.0,39
39,2,19,1900800.0,0.0,40
40,21,20,1900800.0,0.0,41
41,2,11,1987200.0,0.0,42
42,2,9,2073600.0,0.0,43
43,15,18,2160000.0,0.0,44
44,20,22,2246400.0,0.0,45
45,22,20,2246400.0,0.0,46
46,23,24,2332800.0,0.0,47
47,22,24,2332800.0,0.0,48
48,18,24,2332800.0,0.0,49
49,24,22,2332800.0,0.0,50
50,11,10,2419200.0,0.0,51
51,25,10,2419200.0,0.0,52
52,6,18,2505600.0,0.0,53
53,18,6,2505600.0,0.0,54
54,15,26,2851200.0,0.0,55
55,24,23,2851200.0,0.0,56
56,26,15,2851200.0,0.0,57
57,27,15,2851200.0,0.0,58
58,15,27,2851200.0,0.0,59
59,21,28,2937600.0,0.0,60
60,28,21,2937600.0,0.0,61
61,21,8,3024000.0,0.0,62
62,8,21,3024000.0,0.0,63
63,21,18,3110400.0,0.0,64
64,18,21,3110400.0,0.0,65
65,18,15,3456000.0,0.0,66
66,24,8,3542400.0,0.0,67
67,8,24,3542400.0,0.0,68
68,29,13,3542400.0,0.0,69
69,3,30,3628800.0,0.0,70
70,13,30,3628800.0,0.0,71
71,30,13,3628800.0,0.0,72
72,2,31,3715200.0,0.0,73
73,31,2,3715200.0,0.0,74
74,18,8,3974400.0,0.0,75
75,14,18,4233600.0,0.0,76
76,32,24,4233600.0,0.0,77
77,19,32,4233600.0,0.0,78
78,33,19,4233600.0,0.0,79
79,32,19,4233600.0,0.0,80
80,24,32,4233600.0,0.0,81
81,18,14,4233600.0,0.0,82
82,34,13,4320000.0,0.0,83
83,35,28,4320000.0,0.0,84
84,36,18,4406400.0,0.0,85
85,37,38,4406400.0,0.0,86
86,18,36,4406400.0,0.0,87
87,10,17,4406400.0,0.0,88
88,39,30,4406400.0,0.0,89
89,17,10,4406400.0,0.0,90
90,25,18,4406400.0,0.0,91
91,40,2,4492800.0,0.0,92
92,2,40,4492800.0,0.0,93
93,13,29,4579200.0,0.0,94
94,28,41,4579200.0,0.0,95
95,40,41,4579200.0,0.0,96
96,41,28,4579200.0,0.0,97
97,41,40,4579200.0,0.0,98
98,32,10,4665600.0,0.0,99
99,38,37,4665600.0,0.0,100
100,10,32,4665600.0,0.0,101
101,38,2,4838400.0,0.0,102
102,13,28,4838400.0,0.0,103
103,28,13,4838400.0,0.0,104
104,2,38,4838400.0,0.0,105
105,14,32,4924800.0,0.0,106
106,42,37,4924800.0,0.0,107
107,32,14,4924800.0,0.0,108
108,32,43,5011200.0,0.0,109
109,44,28,5011200.0,0.0,110
110,28,44,5011200.0,0.0,111
111,28,45,5011200.0,0.0,112
112,45,28,5011200.0,0.0,113
113,43,32,5011200.0,0.0,114
114,33,28,5356800.0,0.0,115
115,46,33,5356800.0,0.0,116
116,28,33,5356800.0,0.0,117
117,19,33,5356800.0,0.0,118
118,33,46,5356800.0,0.0,119
119,24,11,5443200.0,0.0,120
120,11,24,5443200.0,0.0,121
121,47,33,5529600.0,0.0,122
122,33,47,5616000.0,0.0,123
123,18,48,5702400.0,0.0,124
124,49,1,5702400.0,0.0,125
125,1,49,5702400.0,0.0,126
126,50,32,5702400.0,0.0,127
127,32,50,5702400.0,0.0,128
128,1,33,5788800.0,0.0,129
129,33,1,5788800.0,0.0,130
130,2,51,5961600.0,0.0,131
131,51,52,5961600.0,0.0,132
132,51,2,5961600.0,0.0,133
133,41,52,6134400.0,0.0,134
134,53,28,6220800.0,0.0,135
135,24,13,6220800.0,0.0,136
136,13,24,6220800.0,0.0,137
137,13,34,6307200.0,0.0,138
138,54,41,6393600.0,0.0,139
139,41,54,6393600.0,0.0,140
140,38,49,6480000.0,0.0,141
141,49,38,6480000.0,0.0,142
142,55,18,6652800.0,0.0,143
143,18,55,6652800.0,0.0,144
144,38,28,6739200.0,0.0,145
145,56,28,6739200.0,0.0,146
146,28,38,6739200.0,0.0,147
147,18,10,6825600.0,0.0,148
148,57,18,6825600.0,0.0,149
149,37,58,6825600.0,0.0,150
150,58,37,6825600.0,0.0,151
151,18,57,6825600.0,0.0,152
152,58,41,6912000.0,0.0,153
153,59,58,6912000.0,0.0,154
154,39,58,6912000.0,0.0,155
155,41,58,6912000.0,0.0,156
156,24,55,6998400.0,0.0,157
157,55,24,6998400.0,0.0,158
158,17,4,7084800.0,0.0,159
159,60,4,7084800.0,0.0,160
160,24,60,7084800.0,0.0,161
161,60,24,7084800.0,0.0,162
162,18,52,7257600.0,0.0,163
163,2,52,7257600.0,0.0,164
164,52,18,7257600.0,0.0,165
165,39,59,7344000.0,0.0,166
166,54,44,7344000.0,0.0,167
167,31,41,7344000.0,0.0,168
