,u,i,ts,label,idx
0,1,2,0.0,0.0,1
1,3,2,29.0,0.0,2
2,4,5,1228.0,0.0,3
3,6,7,3365.0,0.0,4
4,8,9,12342.0,0.0,5
5,10,9,12389.0,0.0,6
6,3,11,120788.0,0.0,7
7,12,1,128645.0,0.0,8
8,13,1,128710.0,0.0,9
9,1,12,139069.0,0.0,10
10,5,12,199499.0,0.0,11
11,10,12,199526.0,0.0,12
12,14,12,199538.0,0.0,13
13,6,12,199614.0,0.0,14
14,6,15,200401.0,0.0,15
15,16,15,247756.0,0.0,16
16,5,10,313744.0,0.0,17
17,2,10,313819.0,0.0,18
18,12,10,313833.0,0.0,19
19,14,10,313855.0,0.0,20
20,17,10,313929.0,0.0,21
21,1,10,313959.0,0.0,22
22,6,10,313963.0,0.0,23
23,18,7,399782.0,0.0,24
24,7,18,399791.0,0.0,25
25,5,3,418387.0,0.0,26
26,2,3,418407.0,0.0,27
27,11,3,418435.0,0.0,28
28,3,5,468731.0,0.0,29
29,7,2,528788.0,0.0,30
30,2,7,528844.0,0.0,31
31,7,1,529391.0,0.0,32
32,19,15,594169.0,0.0,33
33,9,15,631456.0,0.0,34
34,15,9,631700.0,0.0,35
35,20,9,846300.0,0.0,36
36,9,20,848206.0,0.0,37
37,13,15,866574.0,0.0,38
38,21,7,955637.0,0.0,39
39,7,21,955642.0,0.0,40
40,2,22,1058529.0,0.0,41
41,5,9,1278651.0,0.0,42
42,23,11,1402545.0,0.0,43
43,11,23,1402565.0,0.0,44
44,5,22,1425016.0,0.0,45
45,22,5,1425041.0,0.0,46
46,23,5,1508522.0,0.0,47
47,5,23,1510864.0,0.0,48
48,9,23,1516731.0,0.0,49
49,23,9,1519645.0,0.0,50
50,11,2,1584455.0,0.0,51
51,2,11,1584679.0,0.0,52
52,15,5,1727325.0,0.0,53
53,21,5,1810852.0,0.0,54
54,5,21,1814061.0,0.0,55
55,2,24,1814262.0,0.0,56
56,9,5,1849018.0,0.0,57
57,25,26,1915911.0,0.0,58
58,26,25,1917933.0,0.0,59
59,5,24,1917999.0,0.0,60
60,5,15,1975970.0,0.0,61
61,5,14,2073320.0,0.0,62
62,20,11,2134197.0,0.0,63
63,13,5,2263354.0,0.0,64
64,27,25,2273616.0,0.0,65
65,25,27,2273785.0,0.0,66
66,28,29,2336960.0,0.0,67
67,11,29,2348362.0,0.0,68
68,27,29,2349266.0,0.0,69
69,29,27,2349300.0,0.0,70
70,15,16,2381869.0,0.0,71
71,30,16,2381876.0,0.0,72
72,31,26,2442667.0,0.0,73
73,26,31,2442700.0,0.0,74
74,5,32,2498359.0,0.0,75
75,11,9,2515104.0,0.0,76
76,9,11,2515119.0,0.0,77
77,33,20,2828622.0,0.0,78
78,20,33,2829467.0,0.0,79
79,34,20,2843324.0,0.0,80
80,20,34,2843368.0,0.0,81
81,29,28,2857249.0,0.0,82
82,35,28,2947394.0,0.0,83
83,28,35,2947500.0,0.0,84
84,36,28,2951916.0,0.0,85
85,28,36,2953150.0,0.0,86
86,36,5,2954480.0,0.0,87
87,5,36,2954495.0,0.0,88
88,6,11,2958550.0,0.0,89
89,37,26,2964325.0,0.0,90
90,26,37,2964360.0,0.0,91
91,12,26,3055661.0,0.0,92
92,26,12,3055696.0,0.0,93
93,26,11,3119274.0,0.0,94
94,11,26,3119387.0,0.0,95
95,35,11,3200490.0,0.0,96
96,11,35,3200520.0,0.0,97
97,38,11,3205945.0,0.0,98
98,11,38,3248464.0,0.0,99
99,11,20,3474285.0,0.0,100
100,39,7,3553906.0,0.0,101
101,12,29,3577246.0,0.0,102
102,29,12,3577417.0,0.0,103
103,40,7,3581706.0,0.0,104
104,7,40,3581760.0,0.0,105
105,13,40,3581772.0,0.0,106
106,1,40,3581815.0,0.0,107
107,41,24,3678927.0,0.0,108
108,24,41,3694036.0,0.0,109
109,5,42,3715245.0,0.0,110
110,42,5,3715283.0,0.0,111
111,43,7,3808811.0,0.0,112
112,7,43,3812830.0,0.0,113
113,11,12,3949693.0,0.0,114
114,13,11,4167959.0,0.0,115
115,44,24,4206561.0,0.0,116
116,45,24,4206567.0,0.0,117
117,44,29,4211430.0,0.0,118
118,29,44,4211544.0,0.0,119
119,24,44,4211551.0,0.0,120
120,46,5,4239326.0,0.0,121
121,5,46,4239640.0,0.0,122
122,19,11,4239777.0,0.0,123
123,11,19,4240322.0,0.0,124
124,47,7,4281587.0,0.0,125
125,48,5,4337362.0,0.0,126
126,5,48,4337369.0,0.0,127
127,49,37,4342049.0,0.0,128
128,50,51,4361193.0,0.0,129
129,11,52,4362631.0,0.0,130
130,52,11,4362678.0,0.0,131
131,30,11,4390404.0,0.0,132
132,16,22,4401345.0,0.0,133
133,22,16,4404428.0,0.0,134
134,13,16,4419144.0,0.0,135
135,53,40,4423929.0,0.0,136
136,54,5,4507662.0,0.0,137
137,5,54,4507757.0,0.0,138
138,37,55,4577928.0,0.0,139
139,55,37,4578427.0,0.0,140
140,55,54,4589549.0,0.0,141
141,54,55,4589568.0,0.0,142
142,7,39,4601342.0,0.0,143
143,44,16,4646209.0,0.0,144
144,16,44,4646225.0,0.0,145
145,51,50,4688446.0,0.0,146
